  UID   PID  PPID   C STIME   TTY           TIME CMD
  501   913     1   0  6 925  ??         0:00.09 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  501   918     1   0  6 925  ??         4:00.67 /usr/libexec/trustd --agent
  441   921     1   0  6 925  ??         0:01.14 /usr/libexec/rosetta/oahd
   89   935     1   0  6 925  ??         0:00.93 /usr/libexec/secd
   89   937     1   0  6 925  ??         0:00.06 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  270   938     1   0  6 925  ??         0:00.69 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000e10 com.apple.IOUserBluetoothSerialDriver
  270   939     1   0  6 925  ??         0:00.64 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000e12 com.apple.IOUserBluetoothSerialDriver
    0   953     1   0  6 925  ??         0:05.26 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  501   955     1   0  6 925  ??         3:28.04 /usr/libexec/secd
  501   956     1   0  6 925  ??         5:48.39 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
   88   960     1   0  6 925  ??       364:03.88 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
   92   974     1   0  6 925  ??         0:12.40 /usr/sbin/distnoted agent
    0   975     1   0  6 925  ??         0:00.85 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  259   980     1   0  6 925  ??         0:00.12 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
    0   981     1   0  6 925  ??         0:02.34 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
    0   987     1   0  6 925  ??         0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  273  1000     1   0  6 925  ??         0:11.91 /usr/sbin/distnoted agent
    0  1014     1   0  6 925  ??         0:00.75 /usr/libexec/online-auth-agent
  501  1118     1   0  6 925  ??         0:45.67 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
    0  1156     1   0  6 925  ??         0:00.08 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  501  1157     1   0  6 925  ??         0:02.72 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  501  1158     1   0  6 925  ??         2:23.65 /usr/libexec/UserEventAgent (Aqua)
  247  1159     1   0  6 925  ??         0:16.20 /usr/libexec/gamecontrollerd
  260  1160     1   0  6 925  ??         0:04.52 /usr/libexec/seld
  501  1162     1   0  6 925  ??         5:54.16 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  501  1163     1   0  6 925  ??         0:42.01 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  501  1164     1   0  6 925  ??         0:25.72 /usr/sbin/universalaccessd launchd -s
  501  1166     1   0  6 925  ??         0:43.17 /usr/libexec/pboard
  501  1167     1   0  6 925  ??         0:42.90 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
  501  1168     1   0  6 925  ??        15:31.56 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  501  1169     1   0  6 925  ??         0:18.74 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  501  1170     1   0  6 925  ??         0:17.86 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  501  1173     1   0  6 925  ??         2:34.31 /usr/libexec/nsurlsessiond
  501  1174     1   0  6 925  ??         5:15.04 /usr/libexec/rapportd
  501  1175     1   0  6 925  ??         0:23.92 /usr/sbin/usernoted
  501  1176     1   0  6 925  ??         7:18.31 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  501  1177     1   0  6 925  ??         5:06.86 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  501  1178     1   0  6 925  ??         1:17.87 /System/Library/CoreServices/lockoutagent
  501  1179     1   0  6 925  ??         0:38.00 /usr/libexec/secinitd
  501  1180     1   0  6 925  ??        10:32.37 /System/Library/CoreServices/talagentd
  501  1181     1   0  6 925  ??         1:12.86 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  501  1182     1   0  6 925  ??         0:07.26 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
   55  1183     1   0  6 925  ??         0:12.48 /usr/sbin/distnoted agent
  501  1184     1   0  6 925  ??         0:15.78 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  501  1185     1   0  6 925  ??         8:52.45 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501  1186     1   0  6 925  ??         0:02.44 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
